rx, ry, theta,c11, c12, c13, c14, c22, c23, c24, c33, c34, c44
0.131506,0.0506109,0.0529318,1.27766,0.00301309,0.00301309,0.507293,0.355793,0.355793,0.00368878,0.355793,0.00368878,1.1779
0.0733673,0.367677,1.21229,1.00637,-0.114468,-0.114468,0.239538,0.249726,0.249726,-0.0998554,0.249726,-0.0998554,0.591533
0.0152283,0.234742,0.801651,1.09536,-0.0827118,-0.0827118,0.410681,0.344739,0.344739,-0.0808749,0.344739,-0.0808749,1.08862
0.407089,0.101808,0.39101,0.908515,0.124995,0.124995,0.199701,0.218329,0.218329,0.110756,0.218329,0.110756,0.494774
0.34895,0.418874,1.55037,0.449667,-0.000957788,-0.000957788,0.0750967,0.0436972,0.0436972,-0.00110504,0.0436972,-0.00110504,0.306532
0.290811,0.285939,1.13973,0.643344,0.00344022,0.00344022,0.202483,0.144979,0.144979,0.00325977,0.144979,0.00325977,0.654916
0.232672,0.153005,0.729089,0.946189,0.0461944,0.0461944,0.353429,0.26588,0.26588,0.0459081,0.26588,0.0459081,0.926518
0.174534,0.0200708,0.318448,1.25371,0.0374258,0.0374258,0.458046,0.349791,0.349791,0.0341897,0.349791,0.0341897,1.07931
0.116395,0.337137,1.47781,1.01758,-0.0259747,-0.0259747,0.265108,0.219092,0.219092,-0.0221999,0.219092,-0.0221999,0.61859
0.0582556,0.204202,1.06717,1.16219,-0.0573905,-0.0573905,0.426423,0.329346,0.329346,-0.0541279,0.329346,-0.0541279,1.02728
0.000116649,0.071268,0.656527,1.34615,2.65622e-16,-1.41212e-17,0.576923,0.384615,0.384615,-1.35312e-17,0.384615,-1.35312e-17,1.34615
0.391978,0.388334,0.245887,0.364361,0.000191258,0.000191258,0.071971,0.0421763,0.0421763,7.07412e-05,0.0421763,7.07412e-05,0.359404
0.333839,0.255399,1.40525,0.559336,0.0150378,0.0150378,0.189866,0.136246,0.136246,0.0141074,0.136246,0.0141074,0.702784
0.2757,0.122465,0.994606,0.84753,0.0770434,0.0770434,0.326448,0.265152,0.265152,0.0819692,0.265152,0.0819692,0.954515
0.217561,0.439531,0.583965,0.430968,-0.0944534,-0.0944534,0.15216,0.136077,0.136077,-0.0904521,0.136077,-0.0904521,0.608201
0.159422,0.306597,0.173325,0.683144,-0.0299112,-0.0299112,0.276528,0.214766,0.214766,-0.0322303,0.214766,-0.0322303,0.937821
0.101283,0.173662,1.33268,1.15811,-0.0163155,-0.0163155,0.444866,0.320247,0.320247,-0.0153524,0.320247,-0.0153524,1.05096
0.0431439,0.0407279,0.922044,1.31827,5.80321e-10,5.8032e-10,0.563231,0.378635,0.378635,9.35752e-10,0.378635,9.35752e-10,1.31827
0.435005,0.357794,0.511403,0.384608,0.0191076,0.0191076,0.0701188,0.0412151,0.0412151,0.0231146,0.0412151,0.0231146,0.302733
0.376866,0.224859,0.100763,0.745423,0.0162662,0.0162662,0.167583,0.123115,0.123115,0.0183965,0.123115,0.0183965,0.461156
0.318727,0.0919251,1.26012,0.705968,0.0670205,0.0670205,0.294664,0.257052,0.257052,0.0769739,0.257052,0.0769739,1.04306
0.260588,0.408991,0.849482,0.528755,-0.0642072,-0.0642072,0.144798,0.112665,0.112665,-0.065752,0.112665,-0.065752,0.489532
0.202449,0.276056,0.438841,0.747443,-0.0328834,-0.0328834,0.275993,0.206954,0.206954,-0.034006,0.206954,-0.034006,0.835641
0.14431,0.143122,0.028201,1.09943,1.66368e-10,1.66367e-10,0.443145,0.313803,0.313803,-4.3222e-08,0.313803,-4.3222e-08,1.09375
0.0861712,0.0101879,1.18756,1.28192,0.00788986,0.00788986,0.549116,0.37671,0.37671,0.00851948,0.37671,0.00851948,1.32278
0.0280322,0.327254,0.77692,0.881499,-0.143737,-0.143737,0.287708,0.309957,0.309957,-0.145183,0.309957,-0.145183,0.889182
0.419893,0.194319,0.36628,0.740254,0.0753873,0.0753873,0.159942,0.139173,0.139173,0.0786471,0.139173,0.0786471,0.42205
0.361754,0.061385,1.52564,0.568314,0.0145576,0.0145576,0.251856,0.235177,0.235177,0.0172349,0.235177,0.0172349,1.11372
0.303615,0.378451,1.115,0.54434,-0.024812,-0.024812,0.129773,0.0876356,0.0876356,-0.0261671,0.0876356,-0.0261671,0.454157
0.245476,0.245516,0.704358,0.772096,-1.93347e-09,-1.93347e-09,0.26762,0.196241,0.196241,4.39962e-08,0.196241,4.39962e-08,0.772096
0.187337,0.112582,0.293718,1.12214,0.0217265,0.0217265,0.425195,0.309247,0.309247,0.0199842,0.309247,0.0199842,1.01355
0.129198,0.429648,1.45308,0.921174,-0.0453113,-0.0453113,0.15943,0.144669,0.144669,-0.0483163,0.144669,-0.0483163,0.37656
0.0710595,0.296714,1.04244,1.02367,-0.105209,-0.105209,0.319593,0.289349,0.289349,-0.097965,0.289349,-0.097965,0.810979
0.0129205,0.163779,0.631796,1.21293,-0.0325194,-0.0325194,0.504857,0.366448,0.366448,-0.0338928,0.366448,-0.0338928,1.25652
0.404782,0.030845,0.221156,1.08965,0.10195,0.10195,0.20206,0.248109,0.248109,0.0809538,0.248109,0.0809538,0.486977
