t,c11, c12, c13, c14, c22, c23, c24, c33, c34, c44
0.0538354,0.270689,-5.24318e-09,-5.24318e-09,0.104696,0.0900302,0.0900302,1.39311e-08,0.0900302,1.39311e-08,0.337673
0.0344558,0.162162,-1.1442e-09,-1.1442e-09,0.052887,0.0454245,0.0454245,2.30071e-08,0.0454245,2.30071e-08,0.178358
0.0150761,0.0784969,4.82359e-10,4.82359e-10,0.0227515,0.0203254,0.0203254,-1.59293e-08,0.0203254,-1.59293e-08,0.082043
0.145696,1.26976,2.98964e-10,2.98963e-10,0.530354,0.364892,0.364892,-2.89614e-09,0.364892,-2.89614e-09,1.25727
0.126317,1.02868,-6.01731e-10,-6.01731e-10,0.407077,0.310625,0.310625,-2.57729e-10,0.310625,-2.57729e-10,1.03705
0.106937,0.83554,-1.34143e-09,-1.34143e-09,0.326003,0.262947,0.262947,1.74646e-08,0.262947,1.74646e-08,0.883274
0.0875575,0.617381,5.47652e-10,5.47652e-10,0.22645,0.188912,0.188912,-4.45877e-09,0.188912,-4.45877e-09,0.646315
0.0681778,0.39353,4.95836e-09,4.95836e-09,0.153707,0.12968,0.12968,7.52508e-10,0.12968,7.52508e-10,0.473056
0.0487982,0.261865,3.96642e-09,3.96642e-09,0.0924916,0.0759987,0.0759987,8.43598e-09,0.0759987,8.43598e-09,0.293876
0.0294185,0.162162,-1.1442e-09,-1.1442e-09,0.052887,0.0454245,0.0454245,2.30071e-08,0.0454245,2.30071e-08,0.178358
0.0100389,0.07245,-6.22317e-08,-6.22317e-08,0.00927307,0.00834487,0.00834487,-9.77565e-08,0.00834487,-9.77565e-08,0.0335607
0.140659,1.22843,-6.00637e-10,-6.00637e-10,0.514607,0.356995,0.356995,-5.3035e-09,0.356995,-5.3035e-09,1.23808
0.12128,1.02868,-6.01731e-10,-6.01731e-10,0.407077,0.310625,0.310625,-2.57729e-10,0.310625,-2.57729e-10,1.03705
0.1019,0.774374,2.40185e-09,2.40185e-09,0.28796,0.240476,0.240476,-1.96272e-08,0.240476,-1.96272e-08,0.78946
0.0825203,0.525491,2.34569e-09,2.34569e-09,0.200174,0.174308,0.174308,6.54207e-09,0.174308,6.54207e-09,0.595832
0.0631406,0.367563,5.90176e-09,5.90176e-09,0.132267,0.112207,0.112207,-9.26913e-09,0.112207,-9.26913e-09,0.405642
0.043761,0.261865,3.96642e-09,3.96642e-09,0.0924916,0.0759987,0.0759987,8.43598e-09,0.0759987,8.43598e-09,0.293876
0.0243813,0.157118,-3.85997e-09,-3.85997e-09,0.0398643,0.0329466,0.0329466,1.93875e-08,0.0329466,1.93875e-08,0.133116
0.155002,1.33465,7.59826e-10,7.59826e-10,0.566633,0.380414,0.380414,-4.65207e-10,0.380414,-4.65207e-10,1.32372
0.135622,1.16233,-3.43558e-09,-3.43558e-09,0.472933,0.340594,0.340594,2.77337e-09,0.340594,2.77337e-09,1.1556
0.116242,0.88469,-6.12005e-10,-6.12005e-10,0.343144,0.277514,0.277514,1.26881e-08,0.277514,1.26881e-08,0.917939
0.0968627,0.647046,-4.03948e-09,-4.03948e-09,0.240685,0.206479,0.206479,-1.08622e-08,0.206479,-1.08622e-08,0.686643
0.077483,0.502533,4.58677e-09,4.58677e-09,0.187685,0.157664,0.157664,3.38198e-09,0.157664,3.38198e-09,0.554638
0.0581034,0.354968,6.26165e-10,6.26165e-10,0.118865,0.0960899,0.0960899,-1.74149e-08,0.0960899,-1.74149e-08,0.36118
0.0387237,0.173542,8.05029e-10,8.05029e-10,0.068959,0.0586085,0.0586085,-4.05529e-09,0.0586085,-4.05529e-09,0.232663
0.0193441,0.0784969,4.82359e-10,4.82359e-10,0.0227515,0.0203254,0.0203254,-1.59293e-08,0.0203254,-1.59293e-08,0.082043
0.149964,1.31377,6.29861e-10,6.29861e-10,0.557809,0.376165,0.376165,-4.22428e-10,0.376165,-4.22428e-10,1.3137
0.130585,1.10503,-4.98047e-09,-4.98047e-09,0.453534,0.330163,0.330163,4.60433e-09,0.330163,4.60433e-09,1.13175
0.111205,0.83554,-1.34143e-09,-1.34143e-09,0.326003,0.262947,0.262947,1.74646e-08,0.262947,1.74646e-08,0.883274
0.0918255,0.647046,-4.03948e-09,-4.03948e-09,0.240685,0.206479,0.206479,-1.08622e-08,0.206479,-1.08622e-08,0.686643
0.0724458,0.47008,2.11425e-09,2.11425e-09,0.163125,0.137639,0.137639,-1.0445e-08,0.137639,-1.0445e-08,0.480813
0.0530662,0.270689,-5.24318e-09,-5.24318e-09,0.104696,0.0900302,0.0900302,1.39311e-08,0.0900302,1.39311e-08,0.337673
0.0336865,0.162162,-1.1442e-09,-1.1442e-09,0.052887,0.0454245,0.0454245,2.30071e-08,0.0454245,2.30071e-08,0.178358
0.0143068,0.0784969,4.82359e-10,4.82359e-10,0.0227515,0.0203254,0.0203254,-1.59293e-08,0.0203254,-1.59293e-08,0.082043
0.144927,1.26976,2.98964e-10,2.98963e-10,0.530354,0.364892,0.364892,-2.89614e-09,0.364892,-2.89614e-09,1.25727
0.125548,1.02868,-6.01731e-10,-6.01731e-10,0.407077,0.310625,0.310625,-2.57729e-10,0.310625,-2.57729e-10,1.03705
0.106168,0.83554,-1.34143e-09,-1.34143e-09,0.326003,0.262947,0.262947,1.74646e-08,0.262947,1.74646e-08,0.883274
0.0867882,0.617381,5.47652e-10,5.47652e-10,0.22645,0.188912,0.188912,-4.45877e-09,0.188912,-4.45877e-09,0.646315
0.0674086,0.39353,4.95836e-09,4.95836e-09,0.153707,0.12968,0.12968,7.52508e-10,0.12968,7.52508e-10,0.473056
0.0480289,0.261865,3.96642e-09,3.96642e-09,0.0924916,0.0759987,0.0759987,8.43598e-09,0.0759987,8.43598e-09,0.293876
0.0286493,0.162162,-1.1442e-09,-1.1442e-09,0.052887,0.0454245,0.0454245,2.30071e-08,0.0454245,2.30071e-08,0.178358
0.15927,1.33465,7.59826e-10,7.59826e-10,0.566633,0.380414,0.380414,-4.65207e-10,0.380414,-4.65207e-10,1.32372
0.13989,1.22843,-6.00637e-10,-6.00637e-10,0.514607,0.356995,0.356995,-5.3035e-09,0.356995,-5.3035e-09,1.23808
0.12051,0.975022,-4.06677e-09,-4.06677e-09,0.387677,0.297368,0.297368,5.10492e-09,0.297368,5.10492e-09,1.00535
0.101131,0.699053,2.33725e-09,2.33725e-09,0.272306,0.228098,0.228098,-1.96688e-08,0.228098,-1.96688e-08,0.772005
0.081751,0.502533,4.58677e-09,4.58677e-09,0.187685,0.157664,0.157664,3.38198e-09,0.157664,3.38198e-09,0.554638
0.0623713,0.367563,5.90176e-09,5.90176e-09,0.132267,0.112207,0.112207,-9.26913e-09,0.112207,-9.26913e-09,0.405642
0.0429917,0.261865,3.96642e-09,3.96642e-09,0.0924916,0.0759987,0.0759987,8.43598e-09,0.0759987,8.43598e-09,0.293876
0.023612,0.157118,-3.85997e-09,-3.85997e-09,0.0398643,0.0329466,0.0329466,1.93875e-08,0.0329466,1.93875e-08,0.133116
0.154232,1.33465,7.59826e-10,7.59826e-10,0.566633,0.380414,0.380414,-4.65207e-10,0.380414,-4.65207e-10,1.32372
0.134853,1.16233,-3.43558e-09,-3.43558e-09,0.472933,0.340594,0.340594,2.77337e-09,0.340594,2.77337e-09,1.1556
0.115473,0.88469,-6.12005e-10,-6.12005e-10,0.343144,0.277514,0.277514,1.26881e-08,0.277514,1.26881e-08,0.917939
0.0960934,0.647046,-4.03948e-09,-4.03948e-09,0.240685,0.206479,0.206479,-1.08622e-08,0.206479,-1.08622e-08,0.686643
0.0767138,0.502533,4.58677e-09,4.58677e-09,0.187685,0.157664,0.157664,3.38198e-09,0.157664,3.38198e-09,0.554638
0.0573341,0.354968,6.26165e-10,6.26165e-10,0.118865,0.0960899,0.0960899,-1.74149e-08,0.0960899,-1.74149e-08,0.36118
0.0379545,0.173542,8.05029e-10,8.05029e-10,0.068959,0.0586085,0.0586085,-4.05529e-09,0.0586085,-4.05529e-09,0.232663
0.0185748,0.0784969,4.82359e-10,4.82359e-10,0.0227515,0.0203254,0.0203254,-1.59293e-08,0.0203254,-1.59293e-08,0.082043
0.149195,1.31377,6.29861e-10,6.29861e-10,0.557809,0.376165,0.376165,-4.22428e-10,0.376165,-4.22428e-10,1.3137
0.129816,1.10503,-4.98047e-09,-4.98047e-09,0.453534,0.330163,0.330163,4.60433e-09,0.330163,4.60433e-09,1.13175
0.110436,0.83554,-1.34143e-09,-1.34143e-09,0.326003,0.262947,0.262947,1.74646e-08,0.262947,1.74646e-08,0.883274
0.0910562,0.647046,-4.03948e-09,-4.03948e-09,0.240685,0.206479,0.206479,-1.08622e-08,0.206479,-1.08622e-08,0.686643
0.0716765,0.47008,2.11425e-09,2.11425e-09,0.163125,0.137639,0.137639,-1.0445e-08,0.137639,-1.0445e-08,0.480813
0.0522969,0.270689,-5.24318e-09,-5.24318e-09,0.104696,0.0900302,0.0900302,1.39311e-08,0.0900302,1.39311e-08,0.337673
0.0329172,0.162162,-1.1442e-09,-1.1442e-09,0.052887,0.0454245,0.0454245,2.30071e-08,0.0454245,2.30071e-08,0.178358
0.0135376,0.0784969,4.82359e-10,4.82359e-10,0.0227515,0.0203254,0.0203254,-1.59293e-08,0.0203254,-1.59293e-08,0.082043
0.144158,1.22843,-6.00637e-10,-6.00637e-10,0.514607,0.356995,0.356995,-5.3035e-09,0.356995,-5.3035e-09,1.23808
