r,C00,C01,C02,C03,C04,C05,C06,C07,C08,C11,C12,C13,C14,C15,C16,C17,C18,C22,C23,C24,C25,C26,C27,C28,C33,C34,C35,C36,C37,C38,C44,C45,C46,C47,C48,C55,C56,C57,C58,C66,C67,C68,C77,C78,C88
0.202283,0.187535,-5.77438e-07,-2.44391e-07,-5.77438e-07,0.0733647,1.70475e-07,-2.44391e-07,1.70475e-07,0.0733632,0.0873752,-1.08431e-07,0.0873752,-1.23269e-07,4.74594e-07,-1.08431e-07,4.74594e-07,5.03632e-07,0.0873755,4.91494e-07,2.64182e-07,1.26099e-07,0.0873755,1.26099e-07,-4.9764e-09,0.0873752,-1.23269e-07,4.74594e-07,-1.08431e-07,4.74594e-07,5.03632e-07,0.187535,2.53064e-07,2.97986e-07,2.53064e-07,0.0733641,0.0873754,5.97345e-08,0.0873754,3.53554e-07,0.0873755,1.26099e-07,-4.9764e-09,0.0873754,3.53554e-07,0.187535
0.157063,0.0918008,-2.84429e-07,-9.07326e-08,-2.84429e-07,0.041319,1.82388e-08,-9.07326e-08,1.82388e-08,0.0413195,0.044073,2.96407e-07,0.044073,-1.35435e-07,2.25846e-07,2.96407e-07,2.25846e-07,-4.56919e-07,0.0440732,2.39609e-07,1.85313e-08,-2.04935e-07,0.0440732,-2.04935e-07,5.99149e-08,0.044073,-1.35435e-07,2.25846e-07,2.96407e-07,2.25846e-07,-4.56919e-07,0.091802,6.29211e-08,-3.12901e-08,6.29211e-08,0.0413192,0.0440732,-1.60724e-07,0.0440732,2.3817e-07,0.0440732,-2.04935e-07,5.99149e-08,0.0440732,2.3817e-07,0.0918022
0.111844,0.0519367,-1.059e-08,-2.12185e-07,-1.059e-08,0.0248186,1.04479e-07,-2.12185e-07,1.04479e-07,0.0248191,0.0253704,7.63374e-09,0.0253704,-1.53191e-07,6.79247e-08,7.63374e-09,6.79247e-08,-1.33168e-07,0.0253705,5.72067e-08,-2.69055e-07,-6.73889e-08,0.0253705,-6.73889e-08,1.96921e-08,0.0253704,-1.53191e-07,6.79247e-08,7.63374e-09,6.79247e-08,-1.33168e-07,0.0519366,8.93521e-08,7.00736e-08,8.93521e-08,0.0248187,0.0253705,-5.23859e-08,0.0253705,6.67189e-08,0.0253705,-6.73889e-08,1.96921e-08,0.0253705,6.67189e-08,0.0519366
0.416625,1.14103,5.72757e-08,-1.40236e-08,5.72757e-08,0.324977,-2.22672e-08,-1.40236e-08,-2.22672e-08,0.324977,0.489245,-5.03492e-08,0.489245,3.4962e-08,7.89773e-08,-5.03492e-08,7.89773e-08,2.67783e-08,0.489245,-4.64475e-08,-7.51886e-08,-2.33453e-08,0.489245,-2.33453e-08,1.51414e-08,0.489245,3.4962e-08,7.89773e-08,-5.03492e-08,7.89773e-08,2.67783e-08,1.14103,1.62779e-07,2.42896e-08,1.62779e-07,0.324978,0.489245,2.01611e-08,0.489245,3.98594e-08,0.489245,-2.33453e-08,1.51414e-08,0.489245,3.98594e-08,1.14103
0.371406,0.966929,1.99152e-07,-1.06297e-07,1.99152e-07,0.279417,-6.59364e-10,-1.06297e-07,-6.59364e-10,0.279417,0.421528,-7.47895e-08,0.421528,9.54423e-08,-1.63225e-08,-7.47895e-08,-1.63225e-08,7.92364e-08,0.421528,-1.21936e-07,9.56348e-09,-2.51243e-08,0.421528,-2.51243e-08,-6.94174e-09,0.421528,9.54423e-08,-1.63225e-08,-7.47895e-08,-1.63225e-08,7.92364e-08,0.966929,-2.27047e-08,4.12859e-08,-2.27047e-08,0.279417,0.421528,8.70712e-09,0.421528,1.64903e-07,0.421528,-2.51243e-08,-6.94174e-09,0.421528,1.64903e-07,0.966929
0.326187,0.704711,8.89649e-08,-3.34247e-08,8.89649e-08,0.21247,-4.98058e-08,-3.34247e-08,-4.98058e-08,0.212471,0.317261,-1.95722e-09,0.317261,3.81472e-08,-3.55154e-08,-1.95722e-09,-3.55154e-08,-5.0057e-07,0.317261,-1.43074e-08,2.16395e-07,-3.31006e-08,0.317261,-3.31006e-08,3.87306e-08,0.317261,3.81472e-08,-3.55154e-08,-1.95722e-09,-3.55154e-08,-5.0057e-07,0.704711,-3.59012e-07,-6.08585e-08,-3.59012e-07,0.21247,0.317261,-2.24959e-08,0.317261,-3.65157e-07,0.317261,-3.31006e-08,3.87306e-08,0.317261,-3.65157e-07,0.704711
0.280967,0.423054,4.58332e-07,2.65398e-07,4.58332e-07,0.138634,-1.76497e-07,2.65398e-07,-1.76497e-07,0.138633,0.194781,-3.88414e-07,0.194781,-4.01834e-09,2.02983e-07,-3.88414e-07,2.02983e-07,-3.75272e-07,0.194781,-3.58539e-07,-1.45381e-07,-3.4025e-07,0.194781,-3.4025e-07,1.89815e-07,0.194781,-4.01834e-09,2.02983e-07,-3.88414e-07,2.02983e-07,-3.75272e-07,0.423052,-3.6037e-07,-3.52081e-07,-3.6037e-07,0.138634,0.194781,-2.08791e-07,0.194781,-3.36052e-08,0.194781,-3.4025e-07,1.89815e-07,0.194781,-3.36052e-08,0.423053
0.235748,0.261061,9.71779e-09,-1.30279e-07,9.71779e-09,0.0984203,-1.07957e-07,-1.30279e-07,-1.07957e-07,0.0984193,0.124456,2.8984e-08,0.124456,-7.88217e-08,3.87587e-07,2.8984e-08,3.87587e-07,5.17884e-07,0.124456,2.64789e-08,-1.78925e-07,-3.36902e-07,0.124456,-3.36902e-07,1.1865e-07,0.124456,-7.88217e-08,3.87587e-07,2.8984e-08,3.87587e-07,5.17884e-07,0.26106,1.19146e-07,-2.54164e-08,1.19146e-07,0.0984209,0.124456,4.26298e-07,0.124456,2.1928e-07,0.124456,-3.36902e-07,1.1865e-07,0.124456,2.1928e-07,0.26106
0.190529,0.164856,-5.61245e-07,-9.86359e-08,-5.61245e-07,0.0677216,1.0778e-07,-9.86359e-08,1.0778e-07,0.0677206,0.0785988,-1.35854e-07,0.0785988,-3.23099e-07,3.86994e-07,-1.35854e-07,3.86994e-07,5.39894e-07,0.0785991,2.41368e-07,4.71822e-07,1.34152e-07,0.0785991,1.34152e-07,6.7459e-08,0.0785988,-3.23099e-07,3.86994e-07,-1.35854e-07,3.86994e-07,5.39894e-07,0.164856,2.19148e-07,3.07283e-07,2.19148e-07,0.0677211,0.0785989,2.16568e-08,0.0785989,5.25579e-07,0.0785991,1.34152e-07,6.7459e-08,0.0785989,5.25579e-07,0.164856
0.14531,0.0840736,-3.45034e-07,-1.24573e-08,-3.45034e-07,0.0371481,6.35826e-09,-1.24573e-08,6.35826e-09,0.0371483,0.0392434,3.00316e-07,0.0392434,-1.18125e-08,1.99368e-07,3.00316e-07,1.99368e-07,-5.05629e-07,0.0392435,2.79561e-07,-1.45224e-07,-1.68203e-07,0.0392435,-1.68203e-07,2.49536e-07,0.0392434,-1.18125e-08,1.99368e-07,3.00316e-07,1.99368e-07,-5.05629e-07,0.0840742,-4.86178e-08,-1.45439e-10,-4.86178e-08,0.037148,0.0392436,-8.6106e-08,0.0392436,-5.6144e-08,0.0392435,-1.68203e-07,2.49536e-07,0.0392436,-5.6144e-08,0.0840741
0.100091,0.0382465,-5.8275e-08,-7.41829e-08,-5.8275e-08,0.0181721,2.63409e-08,-7.41829e-08,2.63409e-08,0.0181719,0.0182847,1.94463e-08,0.0182847,7.7086e-08,-7.57211e-08,1.94463e-08,-7.57211e-08,-6.05818e-08,0.0182849,-1.09007e-07,6.55496e-09,-2.36174e-08,0.0182849,-2.36174e-08,-7.978e-08,0.0182847,7.7086e-08,-7.57211e-08,1.94463e-08,-7.57211e-08,-6.05818e-08,0.0382465,-8.8898e-08,7.23672e-08,-8.8898e-08,0.0181719,0.0182847,2.39884e-08,0.0182847,1.41723e-07,0.0182849,-2.36174e-08,-7.978e-08,0.0182847,1.41723e-07,0.0382466
0.404872,1.06589,9.29114e-08,-4.18743e-08,9.29114e-08,0.304467,3.82353e-08,-4.18743e-08,3.82353e-08,0.304466,0.459915,-5.51833e-08,0.459915,1.05064e-07,1.06007e-07,-5.51833e-08,1.06007e-07,3.27748e-08,0.459915,-6.30361e-08,-5.94527e-08,-6.15412e-08,0.459915,-6.15412e-08,4.54377e-08,0.459915,1.05064e-07,1.06007e-07,-5.51833e-08,1.06007e-07,3.27748e-08,1.06589,1.70752e-07,4.70624e-08,1.70752e-07,0.304468,0.459915,6.9275e-09,0.459915,-1.98108e-08,0.459915,-6.15412e-08,4.54377e-08,0.459915,-1.98108e-08,1.06589
0.359652,0.916487,2.47827e-07,-2.09412e-07,2.47827e-07,0.26671,5.43274e-08,-2.09412e-07,5.43274e-08,0.26671,0.401697,-6.23895e-08,0.401697,1.1692e-07,-4.56979e-09,-6.23895e-08,-4.56979e-09,5.95346e-08,0.401697,-8.72003e-08,4.56485e-08,-3.67171e-08,0.401697,-3.67171e-08,2.26067e-10,0.401697,1.1692e-07,-4.56979e-09,-6.23895e-08,-4.56979e-09,5.95346e-08,0.916487,5.73277e-09,5.99588e-08,5.73277e-09,0.266711,0.401697,9.81361e-08,0.401697,1.14716e-07,0.401697,-3.67171e-08,2.26067e-10,0.401697,1.14716e-07,0.916487
0.314433,0.673413,2.83321e-07,2.15768e-08,2.83321e-07,0.206032,3.35163e-09,2.15768e-08,3.35163e-09,0.206033,0.305308,-2.35774e-08,0.305308,2.47683e-08,-8.3626e-08,-2.35774e-08,-8.3626e-08,-4.81853e-07,0.305308,-3.77095e-08,2.40508e-07,2.56483e-08,0.305308,2.56483e-08,1.25425e-08,0.305308,2.47683e-08,-8.3626e-08,-2.35774e-08,-8.3626e-08,-4.81853e-07,0.673413,-3.55228e-07,-1.4024e-07,-3.55228e-07,0.206032,0.305308,-6.17565e-08,0.305308,-3.66563e-07,0.305308,2.56483e-08,1.25425e-08,0.305308,-3.66563e-07,0.673413
0.269214,0.391782,4.52714e-07,2.4034e-07,4.52714e-07,0.131707,-2.07485e-07,2.4034e-07,-2.07485e-07,0.131706,0.181803,-3.37731e-07,0.181803,-2.21199e-08,3.6116e-07,-3.37731e-07,3.6116e-07,3.66148e-07,0.181804,-2.60811e-07,-1.13643e-07,-4.82358e-07,0.181804,-4.82358e-07,6.7231e-08,0.181803,-2.21199e-08,3.6116e-07,-3.37731e-07,3.6116e-07,3.66148e-07,0.391782,-3.68441e-07,-2.64359e-07,-3.68441e-07,0.131707,0.181803,-2.53527e-07,0.181803,-1.68717e-07,0.181804,-4.82358e-07,6.7231e-08,0.181803,-1.68717e-07,0.391782
0.223995,0.261061,9.71779e-09,-1.30279e-07,9.71779e-09,0.0984203,-1.07957e-07,-1.30279e-07,-1.07957e-07,0.0984193,0.124456,2.8984e-08,0.124456,-7.88217e-08,3.87587e-07,2.8984e-08,3.87587e-07,5.17884e-07,0.124456,2.64789e-08,-1.78925e-07,-3.36902e-07,0.124456,-3.36902e-07,1.1865e-07,0.124456,-7.88217e-08,3.87587e-07,2.8984e-08,3.87587e-07,5.17884e-07,0.26106,1.19146e-07,-2.54164e-08,1.19146e-07,0.0984209,0.124456,4.26298e-07,0.124456,2.1928e-07,0.124456,-3.36902e-07,1.1865e-07,0.124456,2.1928e-07,0.26106
