w, grad11, grad21, grad12, grad22,P11, P21, P12, P22, c11, c12, c13, c14, c21, c22, c23, c24, c31, c32, c33, c34, c41, c42, c43, c44
0.263013,-0.0866319,-0.0651699,0.0125251,0.0113212,-0.09489,-0.0133066,-0.0184325,-0.024221,1.25245,-0.0444533,0.0329236,0.443928,-0.0444533,0.270095,0.334492,-0.0338606,0.0329236,0.334492,0.280649,0.0297682,0.443928,-0.0338606,0.0297682,1.09032
0.146735,-0.0800811,-0.0608652,0.0441952,0.0344678,-0.085057,-0.00378873,-0.0082649,0.00254691,1.41061,-0.0493623,0.0582201,0.533259,-0.0493623,0.346488,0.385636,-0.0422129,0.0582201,0.385636,0.351085,0.0529895,0.533259,-0.0422129,0.0529895,1.19756
0.0304567,-0.0735303,-0.0565604,0.0582473,0.0332015,-0.0821432,0.00297062,-0.00160586,0.00402923,1.5193,-0.0640508,0.0621403,0.594738,-0.0640508,0.387026,0.419806,-0.0574041,0.0621403,0.419806,0.386884,0.0557579,0.594738,-0.0574041,0.0557579,1.29702
0.814179,-0.0539133,-0.0368847,0.00749857,0.00668051,-0.0117784,0.000352702,-9.76923e-05,0.000321543,0.234592,-0.0105765,-0.000832719,0.0216318,-0.0105766,-0.00841614,0.00339249,-0.00143472,-0.000832751,0.00339249,0.00348561,0.00112852,0.0216318,-0.00143475,0.00112848,0.213077
0.697901,-0.0589574,-0.0507662,0.0296708,0.0219181,-0.0209774,0.00057132,-0.000380013,0.00468347,0.40635,-0.0231386,0.00123236,0.0617975,-0.0231386,0.00293637,0.0219163,-0.00570553,0.00123236,0.0219163,0.0250767,0.00863291,0.0617975,-0.00570553,0.00863292,0.359749
0.581623,-0.0640016,-0.0646477,0.0462711,0.025196,-0.0294894,0.000705952,-0.000930982,0.00629362,0.548064,-0.0376141,0.00581542,0.108742,-0.037614,0.0306001,0.0537378,-0.0131306,0.00581549,0.0537378,0.0563587,0.01752,0.108742,-0.0131306,0.0175199,0.481741
0.465345,-0.0367157,-0.0227351,0.00247201,0.00203984,-0.0255236,-0.002168,-0.00267747,-0.00576479,0.732248,-0.0150963,0.00043688,0.200687,-0.0150964,0.109945,0.130795,-0.00858601,0.000436788,0.130795,0.119987,0.000682027,0.200687,-0.00858579,0.000682236,0.693189
0.349067,-0.0413086,-0.0423497,0.0151463,0.00936834,-0.0352514,-0.00542691,-0.00669784,-0.00428946,0.972432,-0.0271847,0.0145031,0.326505,-0.0271847,0.21378,0.236543,-0.0191656,0.0145032,0.236543,0.221262,0.0157707,0.326505,-0.0191657,0.0157706,0.908942
0.232789,-0.0459014,-0.0619642,0.0342949,0.0171904,-0.0443922,-0.00778923,-0.0100048,0.000163804,1.22276,-0.0387433,0.0461194,0.463601,-0.0387433,0.313249,0.333993,-0.032865,0.0461194,0.333993,0.317768,0.0450874,0.463601,-0.0328651,0.0450873,1.12225
0.116511,-0.0707332,-0.0672057,0.0625948,0.0287538,-0.075705,0.000769912,-0.00415481,0.00156682,1.42963,-0.066181,0.0679906,0.552705,-0.066181,0.363836,0.394345,-0.0586989,0.0679906,0.394345,0.365976,0.0624836,0.552705,-0.0586989,0.0624836,1.23856
0.000233297,-0.0674727,-0.0782369,0.0746821,0.0291983,-0.0728108,0.00121818,-0.0040757,0.00489816,1.49993,-0.0809313,0.0847836,0.591325,-0.0809313,0.390488,0.413082,-0.0733296,0.0847836,0.413082,0.39106,0.07682,0.591325,-0.0733296,0.07682,1.30025
0.783955,-0.0642122,-0.0892682,0.0865013,0.0276356,-0.0149384,0.00135237,0.000436652,0.00597337,0.276745,-0.0275995,0.00267162,0.0290297,-0.0275995,-0.00642349,0.0059749,-0.00365297,0.00267157,0.0059749,0.013074,0.0189512,0.0290298,-0.00365297,0.0189512,0.239754
0.667677,-0.0581326,-0.0665024,0.0538523,0.0239212,-0.0221078,0.000991695,-0.000201156,0.00613168,0.449303,-0.0317393,0.00492358,0.0753933,-0.0317393,0.0123435,0.0304263,-0.00842894,0.00492356,0.0304263,0.0352419,0.0182521,0.0753933,-0.00842888,0.0182521,0.397651
0.5514,-0.0552439,-0.0788899,0.0665943,0.0235269,-0.0261469,0.000856706,-0.000752736,0.00725139,0.586634,-0.0457528,0.0120859,0.126986,-0.0457527,0.0523159,0.0691421,-0.0176922,0.0120859,0.0691421,0.0736649,0.028334,0.126986,-0.0176922,0.028334,0.524756
0.435122,-0.0523552,-0.0912774,0.0788609,0.0224274,-0.0313495,-3.96592e-05,-0.0022142,0.00805491,0.794341,-0.0625366,0.0302711,0.225007,-0.0625366,0.14102,0.152961,-0.0363893,0.0302711,0.152961,0.15573,0.0439857,0.225007,-0.0363894,0.0439856,0.719034
0.318844,-0.0447737,-0.0672888,0.0451098,0.0190885,-0.0357928,-0.00447125,-0.00635637,0.00447366,1.03379,-0.0468475,0.0358092,0.358045,-0.0468475,0.244843,0.259955,-0.0355573,0.0358092,0.259955,0.252129,0.0386295,0.358045,-0.0355574,0.0386294,0.950643
0.202566,-0.0424641,-0.0797307,0.0585065,0.0178556,-0.0392618,-0.0059435,-0.00841999,0.00429261,1.26404,-0.0580512,0.0666985,0.489389,-0.0580512,0.335756,0.346907,-0.0517318,0.0666985,0.346907,0.339513,0.0648306,0.489389,-0.0517318,0.0648306,1.1637
0.0862878,-0.0401544,-0.0921725,0.0712205,0.0172193,-0.0380359,-0.0066276,-0.00927751,0.00603865,1.38021,-0.0715874,0.0899258,0.555978,-0.0715874,0.377179,0.382125,-0.0669195,0.0899258,0.382125,0.380635,0.0853925,0.555978,-0.0669195,0.0853925,1.27171
0.87001,-0.0619298,-0.0967615,0.0932375,0.0264357,-0.00810134,0.000841058,0.000339792,0.00368629,0.153009,-0.0181006,-0.000456453,0.00927155,-0.0181005,-0.00706445,-0.0003616,-0.00101051,-0.000456416,-0.0003616,0.00428492,0.0117463,0.00927152,-0.0010106,0.0117462,0.133504
0.753732,-0.0583166,-0.107784,0.104423,0.0250371,-0.0145959,0.00153513,0.000551814,0.00663867,0.312979,-0.036655,0.00458826,0.0378081,-0.0366549,0.000122844,0.00989052,-0.00589089,0.0045883,0.00989052,0.0187009,0.0261349,0.0378081,-0.00589087,0.0261349,0.275929
0.637454,-0.0547034,-0.118807,0.115116,0.0234319,-0.0195058,0.0018797,0.000492725,0.00907621,0.482419,-0.0580127,0.0142201,0.0885748,-0.0580127,0.0324673,0.0403738,-0.0171639,0.0142201,0.0403738,0.0525832,0.0425066,0.0885748,-0.0171639,0.0425066,0.431712
0.521176,-0.0504142,-0.0980352,0.0857425,0.0216125,-0.024035,0.000734411,-0.000945154,0.00808596,0.627626,-0.0582117,0.0191588,0.146771,-0.0582118,0.0759892,0.0864296,-0.0253733,0.0191588,0.0864296,0.0933648,0.039181,0.146771,-0.0253733,0.039181,0.569018
0.404898,-0.0473526,-0.109183,0.0970368,0.0203384,-0.0276753,-0.000435985,-0.00247212,0.00942532,0.840522,-0.0751854,0.0433085,0.252252,-0.0751853,0.173411,0.1764,-0.0480865,0.0433085,0.1764,0.184049,0.0577536,0.252252,-0.0480865,0.0577536,0.770058
0.28862,-0.044291,-0.120331,0.10772,0.0190206,-0.0297407,-0.00208516,-0.00427931,0.0112405,1.07582,-0.0920108,0.0791442,0.382599,-0.0920108,0.281397,0.274265,-0.0753192,0.0791442,0.274265,0.286419,0.0834833,0.382599,-0.0753191,0.0834834,0.990869
0.172342,-0.0387299,-0.0992659,0.0782476,0.0167893,-0.0323176,-0.00593845,-0.00819418,0.0074729,1.24814,-0.074739,0.0825735,0.483623,-0.074739,0.339278,0.340066,-0.0671943,0.0825735,0.340066,0.343125,0.0808215,0.483623,-0.0671943,0.0808215,1.15747
0.0560645,-0.0363395,-0.110376,0.0896507,0.0156398,-0.0308923,-0.00687701,-0.00906437,0.00926626,1.38709,-0.0893283,0.108933,0.563238,-0.0893283,0.387319,0.380748,-0.0844767,0.108933,0.380748,0.39137,0.103621,0.563238,-0.0844767,0.103621,1.28739
0.839787,-0.0339491,-0.121487,0.100323,0.0146094,-0.00446057,0.000497589,0.000240075,0.00303807,0.182085,-0.0236826,0.00113316,0.0140714,-0.0236826,0.000901682,0.00215924,-0.0024535,0.00113316,0.00215924,0.00674862,0.0159769,0.0140714,-0.00245349,0.0159769,0.170568
